Time(s),AorticWallStrain,Afferent_AorticBaroreceptor,PleuralPressure,Test_FilteredCVP,Test_CentralSignal,MeanLungVolume,MuscleAutoregulation,Afferent_Baroreceptor,Afferent_Chemoreceptor,Afferent_PulmonaryStretch,Ursino_SympatheticNode,Ursino_SympatheticPeripheral,Afferent_Strain,Ursino_Parasympathetic,HypoxiaThreshold_Heart,HypoxiaThreshold_Peripheral,HypocapniaThreshold_Heart,HypocapniaThreshold_Peripheral,BaroreceptorOperatingPoint,SympatheticFatigue,HeartRateMod_Sympathetic,HeartRateMod_Vagal,ResistanceScale_Muscle,ResistanceScale_Splanchnic,ResistanceScale_Extrasplanchnic,ResistanceScale_Myocardium,Resistance_TotalPeripheral(mmHg_s_Per_mL),ElastanceScale,ComplianceScale,ComplianceModifier,VenaCava_Volume(mL),InsulinSynthesisRate(pmol/min)
0.50,0.0439218,27.3776,-4.16413,8.16545,9.97474,2.67333,0,25.3154,3.54565,11.995,4.46302,4.02641,0.042386,3.73151,0.451009,1.70746e-14,0.00334271,0.00334271,114.021,0,-0.230737,0.578358,1.00094,1.00036,1.00094,0.999559,0.938166,1.00477,0.999671,-0.0998275,1074.58,135
0.52,0.0439216,27.3779,-4.16456,8.16513,9.97429,2.67321,0,25.3154,3.54564,11.9927,4.4631,4.02658,0.042386,3.73177,0.45104,1.70756e-14,0.00334754,0.00334754,114.021,0,-0.23074,0.578368,1.00094,1.00036,1.00094,0.999561,0.938166,1.00477,0.999671,-0.0998276,1073.37,135
0.54,0.0439214,27.3782,-4.16508,8.16481,9.97382,2.67318,0,25.3154,3.54563,11.9904,4.46318,4.02675,0.042386,3.73203,0.45107,1.70766e-14,0.00335235,0.00335235,114.021,0,-0.230743,0.578378,1.00095,1.00036,1.00094,0.999563,0.938166,1.00477,0.99967,-0.0998277,1072.28,135
0.56,0.0439212,27.3785,-4.16569,8.16448,9.97334,2.67326,0,25.3154,3.54563,11.9881,4.46326,4.02691,0.042386,3.7323,0.451101,1.70776e-14,0.00335715,0.00335715,114.021,0,-0.230746,0.578388,1.00095,1.00037,1.00095,0.999565,0.938166,1.00477,0.99967,-0.0998278,1071.32,135
0.58,0.043921,27.3789,-4.16639,8.16415,9.97285,2.67344,0,25.3154,3.54562,11.9858,4.46333,4.02707,0.042386,3.73256,0.451131,1.70787e-14,0.00336194,0.00336194,114.021,0,-0.230748,0.578399,1.00095,1.00037,1.00095,0.999568,0.938166,1.00477,0.99967,-0.0998279,1071.67,135
0.60,0.0439208,27.3794,-4.16718,8.16382,9.97237,2.67372,0,25.3154,3.54561,11.9836,4.4634,4.02723,0.042386,3.73283,0.451161,1.70797e-14,0.00336671,0.00336671,114.021,0,-0.230751,0.57841,1.00096,1.00037,1.00096,0.999571,0.938166,1.00477,0.99967,-0.099828,1072.72,135
0.62,0.0439207,27.3798,-4.16805,8.16351,9.97192,2.67411,0,25.3154,3.54561,11.9814,4.46346,4.02738,0.0423861,3.73309,0.451192,1.70807e-14,0.00337148,0.00337148,114.021,0,-0.230755,0.578421,1.00096,1.00037,1.00096,0.999575,0.937833,1.00477,0.99967,-0.0998282,1074.13,135
0.64,0.0439205,27.3821,-4.169,8.16321,9.97148,2.67459,0,25.3173,3.5456,11.9793,4.46322,4.02725,0.0423861,3.73369,0.451222,1.70817e-14,0.00337623,0.00337623,114.021,0,-0.230757,0.578434,1.00097,1.00037,1.00096,0.999578,0.937833,1.00477,0.99967,-0.0998283,1075.75,135
0.66,0.0439204,27.3827,-4.17003,8.16293,9.97108,2.67518,0,25.3173,3.54559,11.9772,4.46326,4.02738,0.0423861,3.73395,0.451253,1.70827e-14,0.00338086,0.00338086,114.021,0,-0.23076,0.578447,1.00097,1.00037,1.00097,0.999582,0.937833,1.00478,0.99967,-0.0998284,1077.47,135
0.68,0.0439203,27.3833,-4.17114,8.16268,9.97071,2.67587,0,25.3173,3.54558,11.9752,4.46329,4.0275,0.0423862,3.73421,0.451283,1.70838e-14,0.0033853,0.0033853,114.021,0,-0.230763,0.57846,1.00097,1.00037,1.00097,0.999586,0.937833,1.00478,0.999669,-0.0998286,1079.28,135
0.70,0.0439202,27.3839,-4.17232,8.16244,9.97036,2.67666,0,25.3173,3.54558,11.9732,4.46331,4.02761,0.0423862,3.73447,0.451313,1.70848e-14,0.00338955,0.00338955,114.021,0,-0.230766,0.578474,1.00098,1.00038,1.00098,0.99959,0.937833,1.00478,0.999669,-0.0998287,1081.13,135
0.72,0.0439201,27.3846,-4.17357,8.16223,9.97005,2.67754,0,25.3173,3.54557,11.9713,4.46332,4.02771,0.0423863,3.73472,0.451343,1.70858e-14,0.00339361,0.00339361,114.021,0,-0.230768,0.578488,1.00098,1.00038,1.00098,0.999593,0.937833,1.00478,0.999669,-0.0998289,1083.02,135
0.74,0.0439201,27.3853,-4.17489,8.16204,9.96978,2.67852,0,25.3173,3.54556,11.9694,4.46331,4.0278,0.0423863,3.73498,0.451374,1.70868e-14,0.00339752,0.00339752,114.021,0,-0.230771,0.578502,1.00099,1.00038,1.00099,0.999595,0.937833,1.00478,0.999669,-0.0998291,1084.94,135
