Time(s),BloodDensity(kg/m^3),BloodPH,BloodSpecificHeat(J/K_kg),BloodUreaNitrogenConcentration(mg/dL),CarbonDioxideSaturation,CarbonMonoxideSaturation,Hematocrit,HemoglobinContent(g),OxygenSaturation,PlasmaVolume(mL),Phosphate(mmol/L),PulseOximetry,RedBloodCellCount(ct/uL),ShuntFraction,StrongIonDifference(mmol/L),TotalProteinConcentration(g/dL),VolumeFractionNeutralLipidInPlasma,VolumeFractionNeutralPhospholipidInPlasma,WhiteBloodCellCount(ct/uL),ArterialCarbonDioxidePressure(mmHg),ArterialOxygenPressure(mmHg),PulmonaryArterialCarbonDioxidePressure(mmHg),PulmonaryArterialOxygenPressure(mmHg),PulmonaryVenousCarbonDioxidePressure(mmHg),PulmonaryVenousOxygenPressure(mmHg),VenousCarbonDioxidePressure(mmHg),VenousOxygenPressure(mmHg),Albumin-BloodConcentration(g/dL),Bicarbonate-BloodConcentration(g/dL),Calcium-BloodConcentration(mg/L),Chloride-BloodConcentration(g/L),Creatinine-BloodConcentration(mg/L),Epinephrine-BloodConcentration(ug/L),Globulin-BloodConcentration(g/dL),Glucagon-BloodConcentration(mg/dL),Glucose-BloodConcentration(mg/dL),Hemoglobin-BloodConcentration(g/dL),Insulin-BloodConcentration(ug/L),Ketones-BloodConcentration(mg/L),Lactate-BloodConcentration(mg/L),Potassium-BloodConcentration(mg/L),Sodium-BloodConcentration(g/dL),Triacylglycerol-BloodConcentration(mg/dL),Urea-BloodConcentration(mg/dL)
13.88,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275549,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.166,131.654,176.98,0.334,74,26.38
13.90,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275603,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.166,131.653,176.98,0.334,74,26.38
13.92,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275653,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.166,131.653,176.98,0.334,74,26.38
13.94,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275700,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.653,176.98,0.334,74,26.38
13.96,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275743,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.652,176.98,0.334,74,26.38
13.98,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275781,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.652,176.98,0.334,74,26.38
14.00,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275814,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.652,176.98,0.334,74,26.38
14.02,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275843,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.651,176.98,0.334,74,26.38
14.04,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275866,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.651,176.98,0.334,74,26.38
14.06,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275884,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.651,176.98,0.334,74,26.38
14.08,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275896,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.650,176.98,0.334,74,26.38
14.10,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275902,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.167,131.650,176.98,0.334,74,26.38
14.12,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275903,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.168,131.650,176.98,0.334,74,26.38
14.14,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275897,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.168,131.649,176.98,0.334,74,26.38
14.16,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275885,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.168,131.649,176.98,0.334,74,26.38
14.18,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275866,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.168,131.649,176.98,0.334,74,26.38
14.20,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275842,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.168,131.649,176.98,0.334,74,26.38
14.22,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275811,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.168,131.649,176.98,0.334,74,26.38
14.24,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275773,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.168,131.648,176.98,0.334,74,26.38
14.26,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275729,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.168,131.648,176.98,0.334,74,26.38
14.28,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275678,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.648,176.98,0.334,74,26.38
14.30,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275621,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.648,176.98,0.334,74,26.38
14.32,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275557,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.648,176.98,0.334,74,26.38
14.34,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275486,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.647,176.98,0.334,74,26.38
14.36,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275409,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.647,176.98,0.334,74,26.38
14.38,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275326,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.647,176.98,0.334,74,26.38
14.40,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275245,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.647,176.98,0.334,74,26.38
14.42,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275176,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.169,131.647,176.98,0.334,74,26.38
14.44,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275123,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.647,176.98,0.334,74,26.38
14.46,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275087,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.646,176.98,0.334,74,26.38
14.48,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275067,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.646,176.98,0.334,74,26.38
14.50,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275062,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.646,176.98,0.334,74,26.38
14.52,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275072,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.646,176.98,0.334,74,26.38
14.54,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275092,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.645,176.98,0.334,74,26.38
14.56,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275123,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.170,131.645,176.98,0.334,74,26.38
14.58,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275162,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.644,176.98,0.334,74,26.38
14.60,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275208,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.644,176.98,0.334,74,26.38
14.62,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275259,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.644,176.98,0.334,74,26.38
14.64,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275315,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.643,176.98,0.334,74,26.38
14.66,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275374,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.643,176.98,0.334,74,26.38
14.68,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275435,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.642,176.98,0.334,74,26.38
14.70,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275494,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.642,176.98,0.334,74,26.38
14.72,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275551,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.642,176.98,0.334,74,26.38
14.74,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275605,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.171,131.641,176.98,0.334,74,26.38
14.76,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275655,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.172,131.641,176.98,0.334,74,26.38
14.78,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275702,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.640,176.98,0.334,74,26.38
14.80,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275745,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.640,176.98,0.334,74,26.38
14.82,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275783,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.640,176.98,0.334,74,26.38
14.84,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275817,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.639,176.98,0.334,74,26.38
14.86,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275845,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.639,176.98,0.334,74,26.38
14.88,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275869,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.639,176.98,0.334,74,26.38
14.90,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275886,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.639,176.98,0.334,74,26.38
14.92,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275898,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.172,131.638,176.98,0.334,74,26.38
14.94,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275905,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.173,131.638,176.98,0.334,74,26.38
14.96,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275905,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.173,131.638,176.98,0.334,74,26.38
14.98,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275899,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0323,2.7,0.000,87.2,15.30,0.692,11.173,131.637,176.98,0.334,74,26.38
15.00,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275887,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.173,131.637,176.98,0.334,74,26.38
15.02,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275869,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.173,131.637,176.98,0.334,74,26.38
15.04,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275844,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.173,131.637,176.98,0.334,74,26.38
15.06,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275813,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.173,131.636,176.98,0.334,74,26.38
15.08,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275775,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.173,131.636,176.98,0.334,74,26.38
15.10,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275731,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.636,176.98,0.334,74,26.38
15.12,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275680,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.636,176.98,0.334,74,26.38
15.14,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275623,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.636,176.98,0.334,74,26.38
15.16,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275559,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.636,176.98,0.334,74,26.38
15.18,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275489,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.635,176.98,0.334,74,26.38
15.20,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275412,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.635,176.98,0.334,74,26.38
15.22,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275328,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.635,176.98,0.334,74,26.38
15.24,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275248,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.174,131.635,176.98,0.334,74,26.38
15.26,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275179,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.635,176.98,0.334,74,26.38
15.28,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275125,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.635,176.98,0.334,74,26.38
15.30,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275089,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.634,176.98,0.334,74,26.38
15.32,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275069,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.634,176.98,0.334,74,26.38
15.34,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275065,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.634,176.98,0.334,74,26.38
15.36,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275074,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.633,176.98,0.334,74,26.38
15.38,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275095,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.633,176.98,0.334,74,26.38
15.40,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275125,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.175,131.633,176.98,0.334,74,26.38
15.42,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275164,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.176,131.632,176.98,0.334,74,26.38
15.44,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275210,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.176,131.632,176.98,0.334,74,26.38
15.46,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275261,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.176,131.632,176.98,0.334,74,26.38
15.48,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275317,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.176,131.631,176.98,0.334,74,26.38
15.50,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275376,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.176,131.631,176.98,0.334,74,26.38
15.52,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275437,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6168,11.0,0.0322,2.7,0.000,87.2,15.30,0.692,11.176,131.630,176.98,0.334,74,26.38
