Time(s),ArterialPressure(mmHg),BloodVolume(mL),CardiacIndex(L/min_m^2),CardiacOutput(mL/min),CentralVenousPressure(mmHg),CerebralBloodFlow(mL/min),CerebralPerfusionPressure(mmHg),DiastolicArterialPressure(mmHg),HeartEjectionFraction,HeartRate(1/min),HeartStrokeVolume(mL),IntracranialPressure(mmHg),MeanArterialPressure(mmHg),MeanArterialCarbonDioxidePartialPressure(mmHg),MeanArterialCarbonDioxidePartialPressureDelta(mmHg),MeanCentralVenousPressure(mmHg),MeanSkinFlow(mL/min),PulmonaryArterialPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),PulmonaryDiastolicArterialPressure(mmHg),PulmonaryMeanArterialPressure(mmHg),PulmonaryMeanCapillaryFlow(mL/min),PulmonaryMeanShuntFlow(mL/min),PulmonarySystolicArterialPressure(mmHg),PulmonaryVascularResistance(mmHg_s/mL),PulmonaryVascularResistanceIndex(mmHg_s/mL_m^2),PulsePressure(mmHg),SystemicVascularResistance(mmHg_s/mL),SystolicArterialPressure(mmHg),BrainVasculature-Oxygen-PartialPressure(mmHg),Aorta-Volume(mL),Aorta-InFlow(mL/min),BrainVasculature-Volume(mL),BrainVasculature-InFlow(mL/min),BoneVasculature-Volume(mL),BoneVasculature-InFlow(mL/min),FatVasculature-Volume(mL),FatVasculature-InFlow(mL/min),KidneyVasculature-Volume(mL),KidneyVasculature-InFlow(mL/min),LargeIntestineVasculature-Volume(mL),LargeIntestineVasculature-InFlow(mL/min),LeftArmVasculature-Volume(mL),LeftHeart-Volume(mL),LeftHeart-InFlow(mL/min),LeftHeart-Pressure(mmHg),LeftKidneyVasculature-Volume(mL),LeftKidneyVasculature-InFlow(mL/min),LeftLegVasculature-Volume(mL),LeftPulmonaryArteries-Volume(mL),LeftPulmonaryArteries-InFlow(mL/min),LeftPulmonaryCapillaries-Volume(mL),LeftPulmonaryCapillaries-InFlow(mL/min),LeftPulmonaryVeins-Volume(mL),LeftPulmonaryVeins-InFlow(mL/min),LiverVasculature-Volume(mL),LiverVasculature-InFlow(mL/min),MuscleVasculature-Volume(mL),MuscleVasculature-InFlow(mL/min),MyocardiumVasculature-Volume(mL),MyocardiumVasculature-InFlow(mL/min),PulmonaryArteries-Volume(mL),PulmonaryArteries-InFlow(mL/min),PulmonaryArteries-Pressure(mmHg),PulmonaryCapillaries-Volume(mL),PulmonaryCapillaries-InFlow(mL/min),PulmonaryCapillaries-Pressure(mmHg),PulmonaryVeins-Volume(mL),PulmonaryVeins-InFlow(mL/min),PulmonaryVeins-Pressure(mmHg),RightArmVasculature-Volume(mL),RightHeart-Volume(mL),RightHeart-InFlow(mL/min),RightHeart-Pressure(mmHg),RightKidneyVasculature-Volume(mL),RightKidneyVasculature-InFlow(mL/min),RightLegVasculature-Volume(mL),RightPulmonaryArteries-Volume(mL),RightPulmonaryArteries-InFlow(mL/min),RightPulmonaryCapillaries-Volume(mL),RightPulmonaryCapillaries-InFlow(mL/min),RightPulmonaryVeins-Volume(mL),RightPulmonaryVeins-InFlow(mL/min),SkinVasculature-Volume(mL),SkinVasculature-InFlow(mL/min),SmallIntestineVasculature-Volume(mL),SmallIntestineVasculature-InFlow(mL/min),SplanchnicVasculature-Volume(mL),SplanchnicVasculature-InFlow(mL/min),SpleenVasculature-Volume(mL),SpleenVasculature-InFlow(mL/min),VenaCava-Volume(mL),VenaCava-InFlow(mL/min)
34.28,89.16,5538,2.8,5559,4.303,633.3,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,0.013,4.3,357,16,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.29,303,0,68,633,391,242,280,242,79,1167,110,190,56,132.922170,2773,5.870321,40,584,84,87.5,0,60.6,2396,170.1,2971,586,1394,783,824,39,194,174,76,16,120,4994,9.0,333,6164,5.9,56,99,12779,2,40,584,84,86.5,76,59.1,2598,163.2,3194,175,333,220,475,67,122,81,142,1217,5394
34.30,87.75,5538,2.8,5559,4.297,622.1,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,0.013,4.3,357,16,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.29,302,0,68,622,391,236,280,236,79,1152,110,185,56,133.576471,1963,5.886420,40,576,84,86.6,0,60.5,2353,170.8,2936,586,1385,783,804,39,189,172,72,16,119,4908,9.0,335,6092,5.9,56,103,12191,2,40,576,84,85.6,72,58.9,2555,163.9,3157,175,328,220,464,67,119,81,139,1215,5382
34.32,86.37,5538,2.8,5559,4.291,611.3,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.28,300,0,68,611,391,230,280,230,79,1137,110,180,56,134.096143,1559,5.903793,40,569,84,85.8,0,60.3,2312,171.5,2900,586,1377,783,784,39,184,171,68,15,119,4824,9.0,336,6018,5.9,56,107,11627,2,40,569,84,84.8,68,58.7,2512,164.7,3118,175,322,220,454,67,116,81,135,1213,5370
34.34,85.02,5538,2.8,5559,4.286,600.7,85.82,73.15,0.55391,73.17,75.974,8.97,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.28,298,0,68,601,391,225,280,225,79,1123,110,176,56,134.546379,1351,5.921679,40,561,84,85.0,0,60.1,2272,172.2,2863,586,1369,783,764,39,180,169,65,15,119,4742,9.0,338,5942,5.9,56,111,11086,2,40,561,84,84.0,65,58.5,2471,165.5,3079,175,317,220,443,67,113,81,132,1211,5358
34.36,83.71,5538,2.8,5559,4.281,590.3,85.82,73.15,0.55391,73.17,75.974,8.97,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.27,297,0,68,590,391,219,280,219,79,1108,110,171,56,134.959029,1238,5.939704,40,554,84,84.2,0,60.0,2232,172.9,2826,586,1361,783,745,39,175,167,62,15,118,4662,8.9,339,5865,5.9,56,114,10571,2,40,554,84,83.2,62,58.4,2430,166.3,3039,175,311,219,433,67,110,81,128,1209,5346
34.38,82.42,5538,2.8,5559,4.277,580.2,85.83,73.15,0.55391,73.17,75.974,8.96,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.26,295,0,68,580,391,214,280,215,79,1095,110,167,56,135.349928,1173,5.957684,40,547,84,83.5,0,59.8,2193,173.7,2789,586,1353,783,727,39,171,166,59,15,118,4583,8.9,341,5789,6.0,56,118,10080,3,40,547,84,82.4,59,58.2,2390,167.1,3000,175,306,219,423,67,108,81,125,1207,5334
34.40,81.17,5539,2.8,5559,4.273,570.3,85.83,73.15,0.55391,73.17,75.974,8.96,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.26,294,0,67,570,391,209,280,212,79,1081,110,163,56,135.727098,1132,5.975528,40,540,84,82.7,0,59.6,2155,174.4,2751,586,1346,783,711,39,167,164,56,15,118,4506,8.9,342,5712,6.0,56,121,9613,3,40,540,84,81.6,56,58.0,2351,167.9,2961,175,301,219,414,67,105,81,122,1206,5322
34.42,79.94,5539,2.8,5559,4.270,560.8,85.84,73.15,0.55391,73.17,75.974,8.95,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.25,293,0,67,561,391,205,280,209,79,1068,110,158,56,136.094683,1103,5.993187,40,534,84,82.0,0,59.4,2118,175.1,2715,586,1338,783,699,39,163,163,53,15,117,4430,8.9,344,5636,6.0,56,124,9168,3,40,534,84,80.8,53,57.8,2312,168.7,2922,175,296,219,404,67,102,81,119,1205,5310
34.44,78.74,5539,2.8,5559,4.266,551.9,85.84,73.15,0.55391,73.17,75.974,8.95,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.24,291,0,67,552,391,201,280,206,79,1055,110,154,56,136.454867,1081,6.010638,40,527,84,81.2,0,59.2,2082,175.8,2678,586,1331,783,687,39,159,161,50,15,117,4357,8.9,345,5561,6.0,56,127,8745,3,40,527,84,80.0,50,57.6,2274,169.5,2883,175,291,219,395,67,100,81,116,1204,5298
34.46,77.57,5539,2.8,5559,4.264,543.3,85.85,73.15,0.55391,73.17,75.974,8.94,94.79,40,0.013,4.3,357,15,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.23,290,0,67,543,391,197,280,203,79,1042,110,150,56,136.808832,1062,6.027870,40,521,84,80.5,0,59.1,2047,176.5,2641,586,1323,783,676,39,155,160,48,15,117,4284,8.8,347,5486,6.0,56,130,8343,3,40,521,84,79.3,48,57.5,2237,170.2,2844,175,287,219,387,67,97,81,113,1203,5286
34.48,76.43,5539,2.8,5559,4.261,534.9,85.86,73.15,0.55391,73.17,75.974,8.93,94.79,40,0.013,4.3,357,14,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.21,289,0,67,535,391,194,280,201,79,1029,110,147,56,137.158800,1050,6.044859,40,515,84,79.8,0,58.9,2012,177.2,2605,586,1316,783,665,39,152,158,46,14,116,4213,8.8,348,5411,6.0,56,132,7960,3,40,515,84,78.6,46,57.3,2201,171.0,2806,175,282,219,378,67,94,81,110,1202,5274
34.50,75.31,5539,2.8,5559,4.266,526.7,85.86,73.15,0.55391,73.17,75.974,8.93,94.79,40,0.013,4.3,357,14,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.20,287,0,67,527,391,190,280,198,79,1017,109,143,56,137.158800,34,23.451848,40,508,84,79.1,0,58.7,1978,178.0,2566,586,1309,782,655,39,149,157,43,14,116,4143,8.8,350,5364,6.1,56,132,43,6,40,508,84,77.8,43,57.1,2165,171.9,2798,175,278,219,370,67,92,81,107,1204,5259
34.52,74.22,5539,2.8,5559,4.271,518.8,85.87,73.15,0.55391,73.17,75.974,8.92,94.79,40,0.013,4.3,357,14,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.19,286,0,67,519,391,187,280,196,79,1005,109,139,56,137.158800,33,47.366118,40,502,84,78.4,0,58.5,1945,178.9,2527,586,1302,782,645,39,145,156,41,14,115,4075,8.8,352,5283,6.1,56,132,41,11,40,502,84,77.1,41,56.9,2130,172.8,2756,175,273,219,361,67,90,81,105,1205,5245
34.54,73.15,5539,2.8,5559,4.276,511.1,85.88,73.15,0.55391,73.17,75.974,8.91,94.79,40,0.013,4.3,357,14,6.154404,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.18,285,0,67,511,391,183,280,194,79,993,109,135,56,137.158800,33,72.739595,40,497,84,78.1,1131,58.4,1935,179.7,2490,586,1296,782,636,39,142,155,2345,14,115,4053,8.8,353,5205,6.1,56,131,0,16,40,497,84,76.8,1214,56.7,2118,173.8,2716,175,269,219,353,67,87,81,102,1207,5231
34.56,76.07,5539,2.8,5559,4.281,534.8,85.89,73.15,0.55391,73.17,75.974,8.90,94.79,40,-0.000,4.3,357,14,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.16,288,13938,67,535,391,197,280,208,79,1079,109,145,56,132.512700,32,94.236507,40,540,84,78.9,4221,58.2,1984,180.5,2457,586,1312,782,683,39,153,156,8537,14,115,4150,8.7,355,5137,6.1,56,129,0,20,40,540,84,77.5,4316,56.6,2166,174.6,2680,175,281,219,376,67,94,81,109,1209,5240
34.58,81.28,5539,2.8,5559,4.286,576.3,85.89,73.15,0.55391,73.17,75.974,8.90,94.79,40,-0.000,4.3,357,15,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.15,294,22204,67,576,391,219,279,231,79,1170,109,163,56,125.111514,32,110.211221,40,585,84,80.4,6659,58.1,2079,181.3,2430,585,1341,782,761,39,171,159,13432,15,115,4339,8.7,357,5080,6.1,56,124,0,24,40,585,84,79.0,6774,56.5,2260,175.5,2650,175,303,219,417,67,105,81,123,1211,5273
34.60,87.34,5539,2.8,5559,4.290,624.5,85.89,73.15,0.55391,73.17,75.974,8.90,94.79,40,-0.000,4.3,357,15,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.14,301,25667,67,624,391,245,279,257,79,1250,109,184,56,116.555955,32,120.791253,40,625,84,82.4,8388,58.1,2204,182.1,2409,585,1375,782,849,39,191,163,16916,15,115,4588,8.7,358,5037,6.2,56,118,0,27,40,625,84,81.0,8528,56.4,2384,176.4,2627,175,328,219,465,67,119,81,138,1212,5320
34.62,93.31,5539,2.8,5559,4.295,671.6,85.89,73.15,0.55391,73.17,75.974,8.90,94.79,40,-0.000,4.3,357,15,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.14,308,25833,67,672,391,270,279,281,79,1316,109,204,56,107.945023,32,126.980803,40,658,84,84.8,9444,58.1,2345,182.9,2395,585,1409,782,934,39,212,168,19056,15,115,4869,8.7,360,5006,6.2,56,112,0,28,40,658,84,83.3,9612,56.5,2524,177.3,2611,175,353,219,511,67,132,81,154,1214,5372
34.64,98.65,5539,2.8,5559,4.300,713.6,85.89,73.15,0.55391,73.17,75.974,8.90,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.14,314,24069,67,714,391,292,280,301,79,1395,109,225,56,99.921999,33,130.015179,40,698,84,87.2,9918,58.1,2490,183.7,2386,585,1440,782,1007,39,230,173,20032,16,115,5160,8.7,362,4987,6.2,56,105,0,30,40,698,84,85.8,10114,56.5,2670,178.1,2601,175,375,219,555,67,145,81,167,1216,5423
34.66,103.10,5539,2.8,5559,4.306,748.4,85.89,73.15,0.55391,73.17,75.974,8.90,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.14,319,21407,67,748,391,309,280,318,79,1470,109,242,56,92.786393,34,130.997913,40,735,84,89.6,9926,58.3,2630,184.5,2383,585,1465,782,1066,39,245,178,20075,16,115,5441,8.7,363,4980,6.2,56,99,0,30,40,735,84,88.2,10149,56.6,2811,179.0,2597,175,393,219,593,67,155,81,178,1218,5468
34.68,106.63,5539,2.8,5559,4.311,775.8,85.88,73.15,0.55391,73.17,75.974,8.91,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.15,323,18519,67,776,391,323,280,330,79,1527,109,256,56,86.613237,35,130.763148,40,764,84,91.9,9587,58.4,2759,185.2,2385,586,1486,782,1111,39,256,182,19421,16,115,5700,8.8,365,4982,6.2,56,92,0,30,40,764,84,90.5,9834,56.8,2941,179.9,2597,175,408,219,623,67,163,81,187,1220,5506
34.70,109.30,5539,2.8,5559,4.316,796.4,85.88,73.15,0.55391,73.17,75.974,8.91,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.15,326,15787,67,796,391,333,280,338,79,1568,109,266,56,81.350883,36,129.871723,40,784,84,93.9,9012,58.6,2873,186.0,2390,586,1501,782,1143,39,265,186,18291,17,116,5929,8.8,367,4992,6.3,56,86,0,29,40,784,84,92.6,9279,56.9,3056,180.7,2602,175,419,219,646,67,170,81,194,1221,5535
34.72,111.22,5539,2.8,5559,4.321,811.0,85.87,73.15,0.55391,73.17,75.974,8.92,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.16,328,13385,67,811,391,340,280,343,79,1595,109,273,56,76.889374,37,128.665356,40,798,84,95.7,8293,58.8,2969,186.8,2398,586,1513,782,1164,39,271,190,16870,17,116,6123,8.8,368,5008,6.3,56,81,0,29,40,798,84,94.3,8577,57.2,3154,181.6,2610,175,427,219,662,67,174,81,199,1223,5557
34.74,112.53,5539,2.8,5559,4.326,820.6,85.86,73.15,0.55391,73.17,75.974,8.93,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.17,330,11360,67,821,391,344,280,345,79,1612,109,278,56,73.102572,38,127.332205,40,806,84,97.1,7505,59.0,3046,187.6,2409,586,1521,783,1176,39,275,193,15306,17,116,6280,8.8,370,5029,6.3,56,75,0,28,40,806,84,95.8,7801,57.4,3234,182.5,2620,175,432,219,673,67,177,81,202,1225,5573
34.76,113.33,5539,2.8,5559,4.331,826.3,85.86,73.15,0.55391,73.17,75.974,8.93,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.18,331,9693,67,826,391,346,280,346,79,1621,110,281,56,69.871494,40,125.960182,40,810,84,98.3,6701,59.3,3106,188.4,2421,586,1526,783,1180,39,277,195,13708,18,117,6401,8.9,372,5052,6.3,56,71,0,27,40,810,84,97.1,7007,57.7,3296,183.4,2632,175,435,219,680,67,179,81,204,1227,5584
34.78,113.72,5539,2.8,5559,4.337,828.7,85.85,73.15,0.55391,73.17,75.974,8.94,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.20,331,8321,67,829,391,347,280,347,79,1623,110,283,56,67.097686,41,124.564707,40,811,84,99.2,5916,59.6,3148,189.2,2433,586,1529,783,1179,39,278,197,12144,18,117,6488,8.9,373,5078,6.3,56,67,0,26,40,811,84,98.0,6228,57.9,3340,184.2,2644,175,436,219,683,67,180,81,205,1229,5590
34.80,113.77,5539,2.8,5559,4.342,828.4,85.84,73.15,0.55391,73.17,75.974,8.95,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.21,331,7139,67,828,391,347,280,347,79,1619,110,283,56,64.718156,42,123.070344,40,809,84,99.8,5161,59.8,3175,190.0,2446,586,1530,783,1180,39,278,198,10637,18,118,6544,8.9,375,5103,6.4,56,63,0,25,40,809,84,98.7,5476,58.2,3369,185.1,2657,175,436,219,683,67,180,81,205,1231,5593
34.82,113.47,5539,2.8,5559,4.347,825.5,85.84,73.15,0.55391,73.17,75.974,8.95,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.22,331,5925,67,826,391,346,280,346,79,1608,110,281,56,62.743135,43,121.190077,40,804,84,100.2,4403,60.1,3186,190.8,2458,586,1529,783,1175,39,277,199,9121,18,119,6568,9.0,377,5128,6.4,56,60,0,24,40,804,84,99.1,4718,58.5,3382,186.0,2669,175,435,219,681,67,179,81,204,1233,5592
34.84,112.67,5539,2.8,5559,4.352,819.2,85.83,73.15,0.55391,73.17,75.974,8.96,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.23,330,4144,68,819,391,342,280,342,79,1586,110,278,56,61.361966,44,118.070153,40,793,84,100.3,3514,60.4,3180,191.6,2469,586,1525,783,1164,39,274,199,7340,18,119,6557,9.0,379,5150,6.4,56,58,0,23,40,793,84,99.2,3826,58.8,3378,186.9,2681,175,431,219,674,67,177,81,202,1234,5587
34.86,110.86,5539,2.8,5559,4.357,804.8,85.82,73.15,0.55391,73.17,75.974,8.97,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.25,328,531,68,805,391,335,280,335,79,1538,110,271,56,61.184845,45,111.556250,40,769,84,99.9,2172,60.6,3148,192.4,2479,586,1515,783,1138,39,268,199,4648,18,120,6495,9.0,380,5168,6.4,56,56,0,21,40,769,84,98.9,2476,59.0,3348,187.8,2690,175,424,219,659,67,172,81,198,1236,5574
34.88,108.95,5539,2.8,5559,4.362,789.7,85.82,73.15,0.55391,73.17,75.974,8.97,94.79,40,-0.000,4.3,357,18,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.26,326,0,68,790,391,326,280,326,79,1499,110,263,56,61.184845,45,93.164261,40,749,84,98.8,0,60.8,3072,193.2,2484,586,1505,783,1110,39,261,197,161,18,120,6346,9.1,382,5179,6.4,56,56,126,18,40,749,84,97.8,161,59.3,3274,188.7,2695,175,416,219,642,67,168,81,193,1238,5557
34.90,107.08,5539,2.8,5559,4.368,774.9,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.27,324,0,68,775,391,318,280,318,79,1462,110,256,56,61.184845,46,62.898073,40,731,84,97.8,0,61.0,3000,194.0,2486,586,1495,783,1083,39,255,195,136,17,120,6202,9.1,384,5183,6.5,56,56,136,12,40,731,84,96.8,136,59.5,3202,189.6,2697,175,408,220,626,67,163,81,188,1240,5539
34.92,105.25,5539,2.8,5559,4.373,760.4,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.27,322,0,68,760,391,311,280,311,79,1427,110,248,56,61.184845,46,34.225076,40,714,84,96.7,0,61.2,2929,194.9,2486,586,1485,783,1056,39,248,192,129,17,121,6062,9.1,385,5182,6.5,56,56,129,7,40,714,84,95.8,129,59.6,3132,190.5,2697,175,400,220,611,67,159,81,183,1242,5521
34.94,103.47,5539,2.8,5559,4.375,746.3,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.28,319,0,68,746,391,303,280,303,79,1393,110,241,56,61.184845,46,16.782952,40,696,84,95.7,0,61.3,2862,195.7,2483,586,1475,783,1031,39,242,190,122,17,121,5927,9.1,387,5176,6.5,56,57,3561,4,40,696,84,94.8,122,59.8,3065,191.4,2693,175,393,220,595,67,155,81,179,1243,5504
34.96,101.72,5539,2.8,5559,4.369,732.5,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.29,317,0,68,732,391,296,280,296,79,1359,110,235,56,61.184845,46,8.519387,40,680,84,94.7,0,61.5,2796,196.5,2478,586,1465,783,1005,39,236,188,116,17,121,5796,9.1,389,5166,6.5,56,61,11304,2,40,680,84,93.8,116,59.9,3000,192.3,2688,175,386,220,581,67,150,81,174,1241,5490
34.98,100.02,5538,2.8,5559,4.361,719.0,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.29,316,0,68,719,391,288,280,288,79,1327,110,228,56,74.670037,40456,6.381800,40,663,84,93.7,0,61.5,2735,190.9,2609,586,1456,783,981,39,230,187,110,17,122,5674,9.1,377,5396,6.4,56,66,14415,2,40,663,84,92.8,110,60.0,2938,186.2,2787,175,379,220,566,67,146,81,170,1238,5478
35.00,98.36,5538,2.8,5559,4.352,705.9,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,17,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.30,314,0,68,706,391,281,280,281,79,1295,110,221,56,97.555504,68656,6.136721,40,647,84,92.8,0,61.5,2679,181.0,2828,586,1447,783,957,39,225,185,104,17,122,5562,9.1,356,5858,6.1,56,71,15422,2,40,647,84,91.9,104,60.0,2883,175.2,3030,175,372,220,552,67,142,81,166,1234,5466
35.02,96.73,5538,2.8,5559,4.343,693.0,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.30,312,0,68,693,391,274,280,274,79,1264,110,215,56,113.656844,48304,5.972871,40,632,84,91.9,0,61.4,2627,174.3,2967,586,1437,783,933,39,219,183,99,16,121,5458,9.1,342,6151,6.0,56,76,15485,2,40,632,84,90.9,99,59.9,2831,167.8,3184,175,365,220,538,67,139,81,161,1231,5454
35.04,95.15,5538,2.8,5559,4.334,680.5,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.30,310,0,68,681,391,268,280,268,79,1234,110,210,56,122.958775,27906,5.888985,40,617,84,90.9,0,61.3,2578,170.9,3029,586,1428,783,910,39,214,181,94,16,121,5359,9.1,335,6282,5.9,56,81,15130,2,40,617,84,90.0,94,59.8,2781,164.0,3253,175,358,220,525,67,135,81,157,1228,5442
35.06,93.60,5538,2.8,5559,4.325,668.3,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.30,308,0,68,668,391,261,280,261,79,1215,110,205,56,127.897907,14817,5.856066,40,607,84,90.0,0,61.1,2530,169.5,3042,586,1419,783,888,39,209,179,89,16,121,5264,9.1,332,6310,5.9,56,86,14598,2,40,607,84,89.1,89,59.6,2734,162.5,3268,175,352,220,512,67,132,81,153,1225,5430
35.08,92.08,5538,2.8,5559,4.318,656.3,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.30,306,0,68,656,391,255,280,255,79,1198,110,199,56,130.519647,7865,5.850021,40,599,84,89.2,0,61.0,2484,169.3,3029,586,1411,783,866,39,204,177,84,16,120,5171,9.1,332,6284,5.9,56,91,14000,2,40,599,84,88.2,84,59.4,2687,162.2,3255,175,346,220,499,67,129,81,150,1222,5418
35.10,90.60,5538,2.8,5559,4.310,644.7,85.80,73.15,0.55391,73.17,75.974,8.99,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.30,305,0,68,645,391,248,280,248,79,1183,110,194,56,131.997725,4434,5.857075,40,591,84,88.3,0,60.8,2439,169.6,3003,586,1402,783,845,39,199,176,80,16,120,5082,9.1,332,6230,5.9,56,95,13386,2,40,591,84,87.3,80,59.3,2642,162.6,3228,175,339,220,486,67,125,81,146,1219,5406
35.12,89.16,5538,2.8,5559,4.303,633.3,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.29,303,0,68,633,391,242,280,242,79,1167,110,190,56,132.922053,2773,5.870313,40,584,84,87.5,0,60.6,2396,170.1,2971,586,1394,783,824,39,194,174,76,16,120,4994,9.0,333,6164,5.9,56,99,12779,2,40,584,84,86.5,76,59.1,2598,163.2,3194,175,333,220,475,67,122,81,142,1217,5394
35.14,87.75,5538,2.8,5559,4.297,622.1,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,-0.000,4.3,357,16,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.29,302,0,68,622,391,236,280,236,79,1152,110,185,56,133.576331,1963,5.886412,40,576,84,86.6,0,60.5,2353,170.8,2936,586,1385,783,804,39,189,172,72,16,119,4908,9.0,335,6092,5.9,56,103,12191,2,40,576,84,85.6,72,58.9,2555,163.9,3157,175,328,220,464,67,119,81,139,1215,5382
35.16,86.37,5538,2.8,5559,4.291,611.3,85.81,73.15,0.55391,73.17,75.974,8.98,94.79,40,-0.000,4.3,357,15,6.154394,14,16,5293,134,18,9.145,4.647,41,0.977,113.77,34.28,300,0,68,611,391,230,280,230,79,1137,110,180,56,134.095991,1559,5.903785,40,569,84,85.8,0,60.3,2312,171.5,2900,586,1377,783,784,39,184,171,68,15,119,4824,9.0,336,6018,5.9,56,107,11626,2,40,569,84,84.8,68,58.7,2512,164.7,3118,175,322,220,454,67,116,81,135,1213,5370
